# SRAM dataset sweep — agreed plan (2026-07-15).
# Model scenario: no column mux, no mid-wordline buffering -> NPUWattch
# composes macros from single-array tiles (own decoder each); depth via
# banking, idle banks modeled from leak_power_mW.
#   grid   : rows {8..512} x cols {4..64}, cell cap rows*cols <= 8192
#            (32 configs/node, nominal PVT, toggle 1.0)
#   PVT    : on 16x8 / 64x16 / 256x32 only — voffsets +/-0.05, +/-0.10 @25C
#            and all five voltages @85C (27 rows/node)
#   toggle : 0.5 spot check on the same three configs (3 rows/node)
# 62 rows/node x 5 nodes = 310 jobs. Run jobs_pilot.csv FIRST to time the
# 8192-cell worst case per node before committing to the full batch.
node,rows,cols,wd,toggle_rate,vdd_V,temp_C,pex
20,8,4,,1.0,,,1
20,8,8,,1.0,,,1
20,8,16,,1.0,,,1
20,8,32,,1.0,,,1
20,8,64,,1.0,,,1
20,16,4,,1.0,,,1
20,16,8,,1.0,,,1
20,16,16,,1.0,,,1
20,16,32,,1.0,,,1
20,16,64,,1.0,,,1
20,32,4,,1.0,,,1
20,32,8,,1.0,,,1
20,32,16,,1.0,,,1
20,32,32,,1.0,,,1
20,32,64,,1.0,,,1
20,64,4,,1.0,,,1
20,64,8,,1.0,,,1
20,64,16,,1.0,,,1
20,64,32,,1.0,,,1
20,64,64,,1.0,,,1
20,128,4,,1.0,,,1
20,128,8,,1.0,,,1
20,128,16,,1.0,,,1
20,128,32,,1.0,,,1
20,128,64,,1.0,,,1
20,256,4,,1.0,,,1
20,256,8,,1.0,,,1
20,256,16,,1.0,,,1
20,256,32,,1.0,,,1
20,512,4,,1.0,,,1
20,512,8,,1.0,,,1
20,512,16,,1.0,,,1
20,16,8,,1.0,0.8,,1
20,16,8,,1.0,0.85,,1
20,16,8,,1.0,0.95,,1
20,16,8,,1.0,1,,1
20,16,8,,1.0,0.8,85,1
20,16,8,,1.0,0.85,85,1
20,16,8,,1.0,,85,1
20,16,8,,1.0,0.95,85,1
20,16,8,,1.0,1,85,1
20,64,16,,1.0,0.8,,1
20,64,16,,1.0,0.85,,1
20,64,16,,1.0,0.95,,1
20,64,16,,1.0,1,,1
20,64,16,,1.0,0.8,85,1
20,64,16,,1.0,0.85,85,1
20,64,16,,1.0,,85,1
20,64,16,,1.0,0.95,85,1
20,64,16,,1.0,1,85,1
20,256,32,,1.0,0.8,,1
20,256,32,,1.0,0.85,,1
20,256,32,,1.0,0.95,,1
20,256,32,,1.0,1,,1
20,256,32,,1.0,0.8,85,1
20,256,32,,1.0,0.85,85,1
20,256,32,,1.0,,85,1
20,256,32,,1.0,0.95,85,1
20,256,32,,1.0,1,85,1
20,16,8,,0.5,,,1
20,64,16,,0.5,,,1
20,256,32,,0.5,,,1
16,8,4,,1.0,,,1
16,8,8,,1.0,,,1
16,8,16,,1.0,,,1
16,8,32,,1.0,,,1
16,8,64,,1.0,,,1
16,16,4,,1.0,,,1
16,16,8,,1.0,,,1
16,16,16,,1.0,,,1
16,16,32,,1.0,,,1
16,16,64,,1.0,,,1
16,32,4,,1.0,,,1
16,32,8,,1.0,,,1
16,32,16,,1.0,,,1
16,32,32,,1.0,,,1
16,32,64,,1.0,,,1
16,64,4,,1.0,,,1
16,64,8,,1.0,,,1
16,64,16,,1.0,,,1
16,64,32,,1.0,,,1
16,64,64,,1.0,,,1
16,128,4,,1.0,,,1
16,128,8,,1.0,,,1
16,128,16,,1.0,,,1
16,128,32,,1.0,,,1
16,128,64,,1.0,,,1
16,256,4,,1.0,,,1
16,256,8,,1.0,,,1
16,256,16,,1.0,,,1
16,256,32,,1.0,,,1
16,512,4,,1.0,,,1
16,512,8,,1.0,,,1
16,512,16,,1.0,,,1
16,16,8,,1.0,0.75,,1
16,16,8,,1.0,0.8,,1
16,16,8,,1.0,0.9,,1
16,16,8,,1.0,0.95,,1
16,16,8,,1.0,0.75,85,1
16,16,8,,1.0,0.8,85,1
16,16,8,,1.0,,85,1
16,16,8,,1.0,0.9,85,1
16,16,8,,1.0,0.95,85,1
16,64,16,,1.0,0.75,,1
16,64,16,,1.0,0.8,,1
16,64,16,,1.0,0.9,,1
16,64,16,,1.0,0.95,,1
16,64,16,,1.0,0.75,85,1
16,64,16,,1.0,0.8,85,1
16,64,16,,1.0,,85,1
16,64,16,,1.0,0.9,85,1
16,64,16,,1.0,0.95,85,1
16,256,32,,1.0,0.75,,1
16,256,32,,1.0,0.8,,1
16,256,32,,1.0,0.9,,1
16,256,32,,1.0,0.95,,1
16,256,32,,1.0,0.75,85,1
16,256,32,,1.0,0.8,85,1
16,256,32,,1.0,,85,1
16,256,32,,1.0,0.9,85,1
16,256,32,,1.0,0.95,85,1
16,16,8,,0.5,,,1
16,64,16,,0.5,,,1
16,256,32,,0.5,,,1
10,8,4,,1.0,,,1
10,8,8,,1.0,,,1
10,8,16,,1.0,,,1
10,8,32,,1.0,,,1
10,8,64,,1.0,,,1
10,16,4,,1.0,,,1
10,16,8,,1.0,,,1
10,16,16,,1.0,,,1
10,16,32,,1.0,,,1
10,16,64,,1.0,,,1
10,32,4,,1.0,,,1
10,32,8,,1.0,,,1
10,32,16,,1.0,,,1
10,32,32,,1.0,,,1
10,32,64,,1.0,,,1
10,64,4,,1.0,,,1
10,64,8,,1.0,,,1
10,64,16,,1.0,,,1
10,64,32,,1.0,,,1
10,64,64,,1.0,,,1
10,128,4,,1.0,,,1
10,128,8,,1.0,,,1
10,128,16,,1.0,,,1
10,128,32,,1.0,,,1
10,128,64,,1.0,,,1
10,256,4,,1.0,,,1
10,256,8,,1.0,,,1
10,256,16,,1.0,,,1
10,256,32,,1.0,,,1
10,512,4,,1.0,,,1
10,512,8,,1.0,,,1
10,512,16,,1.0,,,1
10,16,8,,1.0,0.7,,1
10,16,8,,1.0,0.75,,1
10,16,8,,1.0,0.85,,1
10,16,8,,1.0,0.9,,1
10,16,8,,1.0,0.7,85,1
10,16,8,,1.0,0.75,85,1
10,16,8,,1.0,,85,1
10,16,8,,1.0,0.85,85,1
10,16,8,,1.0,0.9,85,1
10,64,16,,1.0,0.7,,1
10,64,16,,1.0,0.75,,1
10,64,16,,1.0,0.85,,1
10,64,16,,1.0,0.9,,1
10,64,16,,1.0,0.7,85,1
10,64,16,,1.0,0.75,85,1
10,64,16,,1.0,,85,1
10,64,16,,1.0,0.85,85,1
10,64,16,,1.0,0.9,85,1
10,256,32,,1.0,0.7,,1
10,256,32,,1.0,0.75,,1
10,256,32,,1.0,0.85,,1
10,256,32,,1.0,0.9,,1
10,256,32,,1.0,0.7,85,1
10,256,32,,1.0,0.75,85,1
10,256,32,,1.0,,85,1
10,256,32,,1.0,0.85,85,1
10,256,32,,1.0,0.9,85,1
10,16,8,,0.5,,,1
10,64,16,,0.5,,,1
10,256,32,,0.5,,,1
7,8,4,,1.0,,,1
