flow_run_id,rtl_name,arch_params,node,corner,vdd_V,temperature_C,clock_period_ns,clock_freq_mhz,exp_bits,mantissa_bits,pipeline_stages,dc_version,syn_total_cells,syn_comb_cells,syn_seq_cells,syn_total_area_um2,syn_comb_area_um2,syn_seq_area_um2,syn_scr,syn_sar,syn_crit_path_ns,syn_wns_ns,syn_tns_ns,syn_violating_paths,icc2_version,pnr_total_cells,pnr_comb_cells,pnr_seq_cells,pnr_total_area_um2,pnr_comb_area_um2,pnr_seq_area_um2,pnr_core_area_um2,pnr_utilization,pnr_scr,pnr_sar,pnr_crit_path_ns,pnr_wns_ns,pnr_tns_ns,pnr_violating_paths,starrc_version,pt_version,internal_power_mW,switching_power_mW,leak_power_mW,total_power_mW,dyn_power_mW,dyn_energy_pJ,clock_network_internal_power_mW,clock_network_switching_power_mW,clock_network_leak_power_mW,clock_network_total_power_mW,register_internal_power_mW,register_switching_power_mW,register_leak_power_mW,register_total_power_mW,combinational_internal_power_mW,combinational_switching_power_mW,combinational_leak_power_mW,combinational_total_power_mW,sequential_internal_power_mW,sequential_switching_power_mW,sequential_leak_power_mW,sequential_total_power_mW,memory_internal_power_mW,memory_switching_power_mW,memory_leak_power_mW,memory_total_power_mW,io_pad_internal_power_mW,io_pad_switching_power_mW,io_pad_leak_power_mW,io_pad_total_power_mW,black_box_internal_power_mW,black_box_switching_power_mW,black_box_leak_power_mW,black_box_total_power_mW,power_activity_mode,stim_mode,collector_schema,collected_at
fpmul_4_3_2_10nm_TT_0V8_25C_800MHz,fpmul,exp_bits=4;mantissa_bits=3;pipeline_stages=2,10nm,TT,0.8,25.0,1.25,800.0,4,3,2,V-2023.12-SP4,346,320,26,56.371201,40.3968,15.974401,0.07514450867052024,0.2833787593065473,0.94,0.09,0.0,0,V-2023.12-SP4,320,294,26,53.36,37.39,15.97,79.1347,0.6743,0.08125,0.299287856071964,0.45,0.59,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.1274,0.054119999999999994,0.0001466,0.1817,0.18152000000000001,0.22690000000000002,0.07349,0.0,0.0,0.07349,0.013940000000000001,0.0035540000000000003,3.79e-05,0.01753,0.03998,0.05057,0.0001087,0.09066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T08:30:08+00:00
fpmul_4_3_2_10nm_TT_0V8_25C_800MHz,fpmul,exp_bits=4;mantissa_bits=3;pipeline_stages=2,10nm,TT,0.8,25.0,1.25,800.0,4,3,2,V-2023.12-SP4,346,320,26,56.371201,40.3968,15.974401,0.07514450867052024,0.2833787593065473,0.94,0.09,0.0,0,V-2023.12-SP4,320,294,26,53.36,37.39,15.97,79.1347,0.6743,0.08125,0.299287856071964,0.45,0.59,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.1854,0.11,0.0001509,0.2956,0.2954,0.36924999999999997,0.07344,0.0,0.0,0.07344,0.0327,0.008854,4.057e-05,0.04159,0.07932,0.10110000000000001,0.0001103,0.1805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-25T08:30:14+00:00
fpmul_4_3_2_10nm_TT_0V8_25C_500MHz,fpmul,exp_bits=4;mantissa_bits=3;pipeline_stages=2,10nm,TT,0.8,25.0,2.0,500.0,4,3,2,V-2023.12-SP4,308,282,26,57.231361,41.25696,15.974401,0.08441558441558442,0.279119712005451,1.28,0.5,0.0,0,V-2023.12-SP4,288,262,26,54.87,38.89,15.97,79.8413,0.6872,0.09027777777777778,0.29105157645343543,0.82,0.96,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.0802,0.03467,0.00013780000000000002,0.115,0.11487,0.22974,0.04584,0.0,0.0,0.04584,0.008723,0.002448,3.7879999999999996e-05,0.01121,0.02563,0.03222,9.988e-05,0.05795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T08:31:30+00:00
fpmul_4_3_2_10nm_TT_0V8_25C_500MHz,fpmul,exp_bits=4;mantissa_bits=3;pipeline_stages=2,10nm,TT,0.8,25.0,2.0,500.0,4,3,2,V-2023.12-SP4,308,282,26,57.231361,41.25696,15.974401,0.08441558441558442,0.279119712005451,1.28,0.5,0.0,0,V-2023.12-SP4,288,262,26,54.87,38.89,15.97,79.8413,0.6872,0.09027777777777778,0.29105157645343543,0.82,0.96,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.11900000000000001,0.07175,0.000142,0.19090000000000001,0.19075,0.3815,0.04581,0.0,0.0,0.04581,0.02099,0.0061059999999999994,4.059e-05,0.02714,0.052210000000000006,0.06565,0.0001015,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-25T08:31:36+00:00
fpmul_4_3_3_10nm_TT_0V8_25C_800MHz,fpmul,exp_bits=4;mantissa_bits=3;pipeline_stages=3,10nm,TT,0.8,25.0,1.25,800.0,4,3,3,V-2023.12-SP4,366,330,36,63.744001,41.6256,22.118401,0.09836065573770492,0.34698796205151916,0.94,0.09,0.0,0,V-2023.12-SP4,339,303,36,60.7,38.58,22.12,87.7363,0.6919,0.10619469026548672,0.3644151565074135,0.45,0.59,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.1615,0.0549,0.0001661,0.21660000000000001,0.2164,0.2705,0.10110000000000001,0.0,0.0,0.10110000000000001,0.0189,0.004092999999999999,5.2560000000000005e-05,0.02305,0.04146,0.05081,0.00011350000000000001,0.09238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T08:32:38+00:00
fpmul_4_3_3_10nm_TT_0V8_25C_800MHz,fpmul,exp_bits=4;mantissa_bits=3;pipeline_stages=3,10nm,TT,0.8,25.0,1.25,800.0,4,3,3,V-2023.12-SP4,366,330,36,63.744001,41.6256,22.118401,0.09836065573770492,0.34698796205151916,0.94,0.09,0.0,0,V-2023.12-SP4,339,303,36,60.7,38.58,22.12,87.7363,0.6919,0.10619469026548672,0.3644151565074135,0.45,0.59,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.22690000000000002,0.114,0.0001716,0.3411,0.34090000000000004,0.42612500000000003,0.10110000000000001,0.0,0.0,0.10110000000000001,0.04288,0.01005,5.5969999999999994e-05,0.05298,0.08299000000000001,0.1039,0.0001156,0.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-25T08:32:45+00:00
fpmul_4_3_3_10nm_TT_0V8_25C_500MHz,fpmul,exp_bits=4;mantissa_bits=3;pipeline_stages=3,10nm,TT,0.8,25.0,2.0,500.0,4,3,3,V-2023.12-SP4,328,292,36,64.604161,42.48576,22.118401,0.10975609756097561,0.34236805582847823,1.28,0.5,0.0,0,V-2023.12-SP4,307,271,36,62.21,40.09,22.12,92.16,0.675,0.11726384364820847,0.35556984407651504,0.82,0.96,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.1017,0.035120000000000005,0.0001571,0.13699999999999998,0.13682,0.27364,0.0633,0.0,0.0,0.0633,0.01182,0.002741,5.2560000000000005e-05,0.014610000000000001,0.02656,0.03238,0.0001046,0.05905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T08:32:49+00:00
fpmul_4_3_3_10nm_TT_0V8_25C_500MHz,fpmul,exp_bits=4;mantissa_bits=3;pipeline_stages=3,10nm,TT,0.8,25.0,2.0,500.0,4,3,3,V-2023.12-SP4,328,292,36,64.604161,42.48576,22.118401,0.10975609756097561,0.34236805582847823,1.28,0.5,0.0,0,V-2023.12-SP4,307,271,36,62.21,40.09,22.12,92.16,0.675,0.11726384364820847,0.35556984407651504,0.82,0.96,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.1447,0.07302,0.0001626,0.21780000000000002,0.21772,0.43544,0.06326,0.0,0.0,0.06326,0.027379999999999998,0.006752,5.598e-05,0.034190000000000005,0.05403,0.06626,0.0001066,0.1204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-25T08:32:55+00:00
fpmul_4_3_5_10nm_TT_0V8_25C_800MHz,fpmul,exp_bits=4;mantissa_bits=3;pipeline_stages=5,10nm,TT,0.8,25.0,1.25,800.0,4,3,5,V-2023.12-SP4,406,350,56,78.489601,44.0832,34.406402,0.13793103448275862,0.43835618427974943,0.94,0.09,0.0,0,V-2023.12-SP4,380,324,56,75.23,40.83,34.41,109.4861,0.6871,0.14736842105263157,0.4573973149009703,0.45,0.59,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.2309,0.05897,0.0002043,0.2901,0.28987,0.36233750000000003,0.1574,0.0,0.0,0.1574,0.02882,0.005135,8.182e-05,0.03403,0.044629999999999996,0.053829999999999996,0.00012240000000000002,0.09859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T08:33:59+00:00
fpmul_4_3_5_10nm_TT_0V8_25C_800MHz,fpmul,exp_bits=4;mantissa_bits=3;pipeline_stages=5,10nm,TT,0.8,25.0,1.25,800.0,4,3,5,V-2023.12-SP4,406,350,56,78.489601,44.0832,34.406402,0.13793103448275862,0.43835618427974943,0.94,0.09,0.0,0,V-2023.12-SP4,380,324,56,75.23,40.83,34.41,109.4861,0.6871,0.14736842105263157,0.4573973149009703,0.45,0.59,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.3036,0.1128,0.000212,0.4167,0.4164,0.5205,0.1573,0.0,0.0,0.1573,0.06286,0.01241,8.676e-05,0.07536,0.08344,0.1004,0.0001252,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-25T08:34:06+00:00
