flow_run_id,rtl_name,arch_params,node,corner,vdd_V,temperature_C,clock_period_ns,clock_freq_mhz,a_width,b_width,out_width,acc_width,pipeline_stages,dc_version,syn_total_cells,syn_comb_cells,syn_seq_cells,syn_total_area_um2,syn_comb_area_um2,syn_seq_area_um2,syn_scr,syn_sar,syn_crit_path_ns,syn_wns_ns,syn_tns_ns,syn_violating_paths,icc2_version,pnr_total_cells,pnr_comb_cells,pnr_seq_cells,pnr_total_area_um2,pnr_comb_area_um2,pnr_seq_area_um2,pnr_core_area_um2,pnr_utilization,pnr_scr,pnr_sar,pnr_crit_path_ns,pnr_wns_ns,pnr_tns_ns,pnr_violating_paths,starrc_version,pt_version,internal_power_mW,switching_power_mW,leak_power_mW,total_power_mW,dyn_power_mW,dyn_energy_pJ,clock_network_internal_power_mW,clock_network_switching_power_mW,clock_network_leak_power_mW,clock_network_total_power_mW,register_internal_power_mW,register_switching_power_mW,register_leak_power_mW,register_total_power_mW,combinational_internal_power_mW,combinational_switching_power_mW,combinational_leak_power_mW,combinational_total_power_mW,sequential_internal_power_mW,sequential_switching_power_mW,sequential_leak_power_mW,sequential_total_power_mW,memory_internal_power_mW,memory_switching_power_mW,memory_leak_power_mW,memory_total_power_mW,io_pad_internal_power_mW,io_pad_switching_power_mW,io_pad_leak_power_mW,io_pad_total_power_mW,black_box_internal_power_mW,black_box_switching_power_mW,black_box_leak_power_mW,black_box_total_power_mW,power_activity_mode,stim_mode,collector_schema,collected_at
intmac_4_4_16_16_3_10nm_TT_0V8_25C_1000MHz,intmac,a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=3,10nm,TT,0.8,25.0,1.0,1000.0,4,4,16,16,3,V-2023.12-SP4,313,267,46,62.976001,34.7136,28.262401,0.14696485623003194,0.44878049655772845,0.73,0.05,0.0,0,V-2023.12-SP4,319,273,46,63.01,34.74,28.26,86.999,0.7242,0.14420062695924765,0.44850023805745126,0.44,0.44,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.2836,0.101,0.0001745,0.38470000000000004,0.38460000000000005,0.38460000000000005,0.21589999999999998,0.043980000000000005,1.765e-05,0.25989999999999996,0.031139999999999998,0.009081,6.77e-05,0.04029,0.036539999999999996,0.04792999999999999,8.913000000000001e-05,0.08456000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T05:45:42+00:00
intmac_4_4_16_16_3_10nm_TT_0V8_25C_1000MHz,intmac,a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=3,10nm,TT,0.8,25.0,1.0,1000.0,4,4,16,16,3,V-2023.12-SP4,313,267,46,62.976001,34.7136,28.262401,0.14696485623003194,0.44878049655772845,0.73,0.05,0.0,0,V-2023.12-SP4,319,273,46,63.01,34.74,28.26,86.999,0.7242,0.14420062695924765,0.44850023805745126,0.44,0.44,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.3266,0.12940000000000002,0.0001798,0.4562,0.456,0.456,0.2158,0.043980000000000005,1.768e-05,0.25980000000000003,0.05343,0.01508,7.138e-05,0.06858,0.05736,0.07032000000000001,9.078e-05,0.1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-25T05:45:49+00:00
intmac_4_4_16_16_3_10nm_TT_0V8_25C_1000MHz,intmac,a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=3,10nm,TT,0.8,25.0,1.0,1000.0,4,4,16,16,3,V-2023.12-SP4,313,267,46,62.976001,34.7136,28.262401,0.14696485623003194,0.44878049655772845,0.73,0.05,0.0,0,V-2023.12-SP4,319,273,46,63.01,34.74,28.26,86.999,0.7242,0.14420062695924765,0.44850023805745126,0.44,0.44,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.2924,0.1078,0.00018020000000000002,0.4004,0.4002,0.4002,0.2158,0.043980000000000005,1.768e-05,0.25980000000000003,0.034319999999999996,0.009496000000000001,7.19e-05,0.04389,0.042230000000000004,0.05437,9.059000000000001e-05,0.09669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,hold_b,2,2026-07-25T05:45:56+00:00
intmac_4_4_16_16_3_10nm_TT_0V8_25C_1000MHz,intmac,a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=3,10nm,TT,0.8,25.0,1.0,1000.0,4,4,16,16,3,V-2023.12-SP4,313,267,46,62.976001,34.7136,28.262401,0.14696485623003194,0.44878049655772845,0.73,0.05,0.0,0,V-2023.12-SP4,319,273,46,63.01,34.74,28.26,86.999,0.7242,0.14420062695924765,0.44850023805745126,0.44,0.44,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.3029,0.1128,0.0001793,0.4158,0.4157,0.4157,0.2158,0.043980000000000005,1.768e-05,0.25980000000000003,0.041569999999999996,0.012069999999999999,7.182e-05,0.05371,0.04549,0.05673,8.981e-05,0.1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,sparse50,2,2026-07-25T05:46:02+00:00
intmac_4_4_16_16_3_10nm_TT_0V8_25C_1000MHz,intmac,a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=3,10nm,TT,0.8,25.0,1.0,1000.0,4,4,16,16,3,V-2023.12-SP4,313,267,46,62.976001,34.7136,28.262401,0.14696485623003194,0.44878049655772845,0.73,0.05,0.0,0,V-2023.12-SP4,319,273,46,63.01,34.74,28.26,86.999,0.7242,0.14420062695924765,0.44850023805745126,0.44,0.44,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.21589999999999998,0.043980000000000005,0.00017490000000000002,0.25999999999999995,0.25988,0.25988,0.21589999999999998,0.043980000000000005,1.768e-05,0.25989999999999996,0.0,0.0,6.809e-05,6.809e-05,0.0,0.0,8.913000000000001e-05,8.913000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,idle,2,2026-07-25T05:46:09+00:00
intmac_4_4_16_16_5_10nm_TT_0V8_25C_1333p33MHz,intmac,a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=5,10nm,TT,0.8,25.0,0.75,1333.3333333333333,4,4,16,16,5,V-2023.12-SP4,401,328,73,83.496962,38.64576,44.851202,0.18204488778054864,0.537159687318923,0.53,0.0,0.0,0,V-2023.12-SP4,400,327,73,84.76,39.91,44.85,116.9818,0.7245,0.1825,0.5291411042944785,0.3,0.26,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.5374000000000001,0.1618,0.00023720000000000002,0.6994,0.6992,0.5244,0.4179,0.0773,2.226e-05,0.49520000000000003,0.06402999999999999,0.01423,0.00010719999999999999,0.07837,0.0555,0.07031,0.0001078,0.12589999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T05:46:38+00:00
intmac_4_4_16_16_5_10nm_TT_0V8_25C_1333p33MHz,intmac,a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=5,10nm,TT,0.8,25.0,0.75,1333.3333333333333,4,4,16,16,5,V-2023.12-SP4,401,328,73,83.496962,38.64576,44.851202,0.18204488778054864,0.537159687318923,0.53,0.0,0.0,0,V-2023.12-SP4,400,327,73,84.76,39.91,44.85,116.9818,0.7245,0.1825,0.5291411042944785,0.3,0.26,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.6112,0.2043,0.000245,0.8158,0.8155,0.611625,0.4177,0.0773,2.228e-05,0.49510000000000004,0.106,0.022180000000000002,0.0001122,0.1282,0.08749,0.10490000000000001,0.0001104,0.19249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-25T05:46:45+00:00
intmac_4_4_16_16_5_10nm_TT_0V8_25C_1333p33MHz,intmac,a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=5,10nm,TT,0.8,25.0,0.75,1333.3333333333333,4,4,16,16,5,V-2023.12-SP4,401,328,73,83.496962,38.64576,44.851202,0.18204488778054864,0.537159687318923,0.53,0.0,0.0,0,V-2023.12-SP4,400,327,73,84.76,39.91,44.85,116.9818,0.7245,0.1825,0.5291411042944785,0.3,0.26,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.5546,0.17579999999999998,0.000245,0.7306,0.7303999999999999,0.5478,0.4177,0.0773,2.228e-05,0.49510000000000004,0.06985000000000001,0.01234,0.0001121,0.0823,0.06699,0.08616,0.00011059999999999999,0.15330000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,hold_b,2,2026-07-25T05:46:52+00:00
intmac_4_4_16_16_5_10nm_TT_0V8_25C_1333p33MHz,intmac,a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=5,10nm,TT,0.8,25.0,0.75,1333.3333333333333,4,4,16,16,5,V-2023.12-SP4,401,328,73,83.496962,38.64576,44.851202,0.18204488778054864,0.537159687318923,0.53,0.0,0.0,0,V-2023.12-SP4,400,327,73,84.76,39.91,44.85,116.9818,0.7245,0.1825,0.5291411042944785,0.3,0.26,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.5703,0.1812,0.0002433,0.7517999999999999,0.7515000000000001,0.563625,0.4178,0.0773,2.228e-05,0.49510000000000004,0.08148,0.016560000000000002,0.00011140000000000001,0.09815,0.07109,0.08738,0.00010960000000000001,0.15860000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,sparse50,2,2026-07-25T05:46:59+00:00
intmac_4_4_16_16_5_10nm_TT_0V8_25C_1333p33MHz,intmac,a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=5,10nm,TT,0.8,25.0,0.75,1333.3333333333333,4,4,16,16,5,V-2023.12-SP4,401,328,73,83.496962,38.64576,44.851202,0.18204488778054864,0.537159687318923,0.53,0.0,0.0,0,V-2023.12-SP4,400,327,73,84.76,39.91,44.85,116.9818,0.7245,0.1825,0.5291411042944785,0.3,0.26,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.4179,0.0773,0.0002354,0.49549999999999994,0.4952,0.37139999999999995,0.4179,0.0773,2.228e-05,0.49529999999999996,0.0,0.0,0.0001045,0.0001045,0.0,0.0,0.00010860000000000001,0.00010860000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,idle,2,2026-07-25T05:47:06+00:00
