flow_run_id,rtl_name,arch_params,node,corner,vdd_V,temperature_C,clock_period_ns,clock_freq_mhz,exp_bits,mantissa_bits,pipeline_stages,dc_version,syn_total_cells,syn_comb_cells,syn_seq_cells,syn_total_area_um2,syn_comb_area_um2,syn_seq_area_um2,syn_scr,syn_sar,syn_crit_path_ns,syn_wns_ns,syn_tns_ns,syn_violating_paths,icc2_version,pnr_total_cells,pnr_comb_cells,pnr_seq_cells,pnr_total_area_um2,pnr_comb_area_um2,pnr_seq_area_um2,pnr_core_area_um2,pnr_utilization,pnr_scr,pnr_sar,pnr_crit_path_ns,pnr_wns_ns,pnr_tns_ns,pnr_violating_paths,starrc_version,pt_version,internal_power_mW,switching_power_mW,leak_power_mW,total_power_mW,dyn_power_mW,dyn_energy_pJ,clock_network_internal_power_mW,clock_network_switching_power_mW,clock_network_leak_power_mW,clock_network_total_power_mW,register_internal_power_mW,register_switching_power_mW,register_leak_power_mW,register_total_power_mW,combinational_internal_power_mW,combinational_switching_power_mW,combinational_leak_power_mW,combinational_total_power_mW,sequential_internal_power_mW,sequential_switching_power_mW,sequential_leak_power_mW,sequential_total_power_mW,memory_internal_power_mW,memory_switching_power_mW,memory_leak_power_mW,memory_total_power_mW,io_pad_internal_power_mW,io_pad_switching_power_mW,io_pad_leak_power_mW,io_pad_total_power_mW,black_box_internal_power_mW,black_box_switching_power_mW,black_box_leak_power_mW,black_box_total_power_mW,power_activity_mode,stim_mode,collector_schema,collected_at
fpadd_4_3_2_10nm_TT_0V8_25C_800MHz,fpadd,exp_bits=4;mantissa_bits=3;pipeline_stages=2,10nm,TT,0.8,25.0,1.25,800.0,4,3,2,V-2023.12-SP4,379,353,26,59.81184,43.83744,15.974401,0.06860158311345646,0.26707757193224624,1.03,0.0,0.0,0,V-2023.12-SP4,355,329,26,58.18,42.21,15.97,84.7872,0.6862,0.07323943661971831,0.27449295290477826,0.45,0.59,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.1444,0.06449,0.0001706,0.20909999999999998,0.20889000000000002,0.2611125,0.08697,0.006154,6.28e-06,0.09313,0.01397,0.004478,3.799e-05,0.01848,0.04348,0.05385,0.0001263,0.09746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T07:07:08+00:00
fpadd_4_3_2_10nm_TT_0V8_25C_800MHz,fpadd,exp_bits=4;mantissa_bits=3;pipeline_stages=2,10nm,TT,0.8,25.0,1.25,800.0,4,3,2,V-2023.12-SP4,379,353,26,59.81184,43.83744,15.974401,0.06860158311345646,0.26707757193224624,1.03,0.0,0.0,0,V-2023.12-SP4,355,329,26,58.18,42.21,15.97,84.7872,0.6862,0.07323943661971831,0.27449295290477826,0.45,0.59,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.219,0.13990000000000002,0.0001747,0.3591,0.3589,0.448625,0.08692,0.006154,6.28e-06,0.09308,0.032799999999999996,0.01114,4.079e-05,0.043980000000000005,0.09931,0.1226,0.00012770000000000001,0.2221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-25T07:07:15+00:00
fpadd_4_3_2_10nm_TT_0V8_25C_500MHz,fpadd,exp_bits=4;mantissa_bits=3;pipeline_stages=2,10nm,TT,0.8,25.0,2.0,500.0,4,3,2,V-2023.12-SP4,327,301,26,54.620161,38.64576,15.974401,0.07951070336391437,0.2924634550235031,1.51,0.27,0.0,0,V-2023.12-SP4,291,265,26,51.67,35.7,15.97,77.7216,0.6648,0.08934707903780069,0.3090768337526611,0.82,0.96,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.07690999999999999,0.03245,0.00013220000000000001,0.1095,0.10935999999999998,0.21871999999999997,0.045649999999999996,0.0,0.0,0.045649999999999996,0.008726000000000001,0.002813,3.798e-05,0.01158,0.02254,0.02963,9.426e-05,0.05226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T07:07:56+00:00
fpadd_4_3_2_10nm_TT_0V8_25C_500MHz,fpadd,exp_bits=4;mantissa_bits=3;pipeline_stages=2,10nm,TT,0.8,25.0,2.0,500.0,4,3,2,V-2023.12-SP4,327,301,26,54.620161,38.64576,15.974401,0.07951070336391437,0.2924634550235031,1.51,0.27,0.0,0,V-2023.12-SP4,291,265,26,51.67,35.7,15.97,77.7216,0.6648,0.08934707903780069,0.3090768337526611,0.82,0.96,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.1227,0.0792,0.0001369,0.2021,0.20190000000000002,0.40380000000000005,0.04562,0.0,0.0,0.04562,0.021359999999999997,0.007018000000000001,4.079e-05,0.028419999999999997,0.055760000000000004,0.07218000000000001,9.607e-05,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-25T07:08:04+00:00
fpadd_4_3_3_10nm_TT_0V8_25C_800MHz,fpadd,exp_bits=4;mantissa_bits=3;pipeline_stages=3,10nm,TT,0.8,25.0,1.25,800.0,4,3,3,V-2023.12-SP4,399,363,36,67.184641,45.06624,22.118401,0.09022556390977443,0.3292181169800401,1.03,0.0,0.0,0,V-2023.12-SP4,364,328,36,63.53,41.41,22.12,93.696,0.678,0.0989010989010989,0.34818196127813633,0.45,0.59,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.1688,0.06910999999999999,0.0001779,0.23800000000000002,0.23791,0.2973875,0.1064,0.010339999999999998,7.27e-07,0.1167,0.01895,0.005242999999999999,5.263e-05,0.02425,0.04344,0.053520000000000005,0.00012450000000000002,0.09709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T07:09:48+00:00
fpadd_4_3_3_10nm_TT_0V8_25C_500MHz,fpadd,exp_bits=4;mantissa_bits=3;pipeline_stages=3,10nm,TT,0.8,25.0,2.0,500.0,4,3,3,V-2023.12-SP4,347,311,36,61.992961,39.87456,22.118401,0.1037463976945245,0.3567889102764425,1.51,0.27,0.0,0,V-2023.12-SP4,311,275,36,59.04,36.93,22.12,86.2618,0.6845,0.1157556270096463,0.37466124661246614,0.82,0.96,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.09864,0.03297,0.0001519,0.1318,0.13161,0.26322,0.06321,0.0,0.0,0.06321,0.01185,0.003146,5.265e-05,0.01505,0.02358,0.02982,9.922e-05,0.0535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T07:09:53+00:00
fpadd_4_3_3_10nm_TT_0V8_25C_800MHz,fpadd,exp_bits=4;mantissa_bits=3;pipeline_stages=3,10nm,TT,0.8,25.0,1.25,800.0,4,3,3,V-2023.12-SP4,399,363,36,67.184641,45.06624,22.118401,0.09022556390977443,0.3292181169800401,1.03,0.0,0.0,0,V-2023.12-SP4,364,328,36,63.53,41.41,22.12,93.696,0.678,0.0989010989010989,0.34818196127813633,0.45,0.59,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.2496,0.1495,0.00018370000000000002,0.3992,0.3991,0.498875,0.10629999999999999,0.010339999999999998,7.27e-07,0.1166,0.042660000000000003,0.012830000000000001,5.6580000000000004e-05,0.05555,0.10060000000000001,0.1263,0.00012639999999999998,0.2271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-25T07:09:56+00:00
fpadd_4_3_3_10nm_TT_0V8_25C_500MHz,fpadd,exp_bits=4;mantissa_bits=3;pipeline_stages=3,10nm,TT,0.8,25.0,2.0,500.0,4,3,3,V-2023.12-SP4,347,311,36,61.992961,39.87456,22.118401,0.1037463976945245,0.3567889102764425,1.51,0.27,0.0,0,V-2023.12-SP4,311,275,36,59.04,36.93,22.12,86.2618,0.6845,0.1157556270096463,0.37466124661246614,0.82,0.96,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.147,0.07925,0.0001578,0.2264,0.22625,0.4525,0.06316,0.0,0.0,0.06316,0.027129999999999998,0.007706,5.639e-05,0.03489,0.056690000000000004,0.07153999999999999,0.0001014,0.1283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-25T07:10:01+00:00
fpadd_4_3_5_10nm_TT_0V8_25C_500MHz,fpadd,exp_bits=4;mantissa_bits=3;pipeline_stages=5,10nm,TT,0.8,25.0,2.0,500.0,4,3,5,V-2023.12-SP4,387,331,56,76.738561,42.33216,34.406402,0.14470284237726097,0.4483587071693982,1.51,0.27,0.0,0,V-2023.12-SP4,352,296,56,73.88,39.48,34.41,107.8272,0.6852,0.1590909090909091,0.46575527883053597,0.82,0.96,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.1424,0.03494,0.0001915,0.1775,0.17734,0.35468,0.09858,0.0,0.0,0.09858,0.018000000000000002,0.003831,8.193000000000001e-05,0.02192,0.02582,0.03111,0.00010960000000000001,0.05704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unvectored,none,2,2026-07-25T07:12:35+00:00
fpadd_4_3_5_10nm_TT_0V8_25C_500MHz,fpadd,exp_bits=4;mantissa_bits=3;pipeline_stages=5,10nm,TT,0.8,25.0,2.0,500.0,4,3,5,V-2023.12-SP4,387,331,56,76.738561,42.33216,34.406402,0.14470284237726097,0.4483587071693982,1.51,0.27,0.0,0,V-2023.12-SP4,352,296,56,73.88,39.48,34.41,107.8272,0.6852,0.1590909090909091,0.46575527883053597,0.82,0.96,0.0,0,V-2023.12-SP3,V-2023.12-SP4,0.19770000000000001,0.08287,0.00020020000000000001,0.2807,0.28057,0.56114,0.09849999999999999,0.0,0.0,0.09849999999999999,0.03868,0.009139,8.758e-05,0.04791,0.06048,0.07373,0.0001126,0.1343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vectored,random,2,2026-07-25T07:12:42+00:00
